id	replacement
5147262	388774
3493838	882582
954911	281621
5012779	288714
909473	291973
4463631	748145
3245018	229688
4031030	153387
3117179	301070
3328422	340016
4552475	851910
4552687	1061207
3328353	912770
3244792	1062036
4160917	700164
3758087	1016876
181097	3755665
5148907	75645
5148915	863573
5148996	1080091
5148990	436743
5148991	1085873
5148978	41521
5148973	488762
5148936	804160
4160767	882253
4160848	681776
4160863	404353
5148606	715829
3495488	943567
5010892	32645
3495333	723805
3495321	149354
5148882	708027
5148881	136324
5148802	614425
5148826	767441
827280	3643826
5148828	840978
5148823	767550
5148824	9724
5148866	114984
5148871	336816
5148787	305045
5148785	718538
5148781	64546
5148796	637948
5148792	143433
5148791	637952
5148776	118941
5148779	871438
3495162	355063
3495169	175856
5148190	389934
5148192	464459
5148367	4731446
3449587	902671
3494770	314317
2904848	629332
4552150	336458
4552235	65470
415637	1007897
3623456	516667
3623299	5223781
828649	4057408
2821070	495632
2939115	977997
3623113	577014
3623028	1087490
3623084	1087463
5145273	351880
828027	980104
4785729	609539
3623801	804526
3369557	363833
3369544	10283
3623784	804540
2821497	4734877
3623667	961405
3623625	566364
5145136	806229
3623599	1057301
3623580	804534
5145113	440483
3970632	288225
2821855	677878
3369175	176079
5145750	278053
5145737	669565
5145738	278051
5145735	215491
5145736	6338
5145734	976289
5145739	976280
5145742	361136
5145740	282993
5145741	361145
5145782	518901
5145778	556650
3623910	481626
3970544	350974
3970378	366426
5145882	504131
3970099	119184
3970082	65977
3970087	744650
5145846	929842
5145848	83543
5145839	83547
5145832	500051
5145836	278671
5145834	802261
3970012	170276
3970001	170290
3970042	815302
5145898	935712
5145899	121970
3970102	555059
3701110	131591
1042815	4039481
3247554	845588
3701272	315568
456091	3983689
456089	3987017
3320238	754186
3320391	334516
3701545	419265
3701547	988004
3247458	544753
3701921	303155
2939913	691127
3624164	4138751
3624181	3624176
3624236	531347
3624331	512361
3624032	343440
4162743	1048216
903731	62471
5146032	1025707
3368895	5230232
5146161	908282
3497875	922251
5146225	654376
5146259	618406
5146270	1069792
3624824	792225
5146422	181410
5146421	857467
5146433	169779
5146437	1012553
5146445	777996
5146443	623291
5146450	623292
5146458	101477
5146459	777952
3624869	206729
5146414	662525
5146468	1007978
5146460	623289
5146462	447889
5146464	623305
5146465	111434
5146466	447883
5146479	623287
5146474	169777
5146477	447890
5146478	623290
5146609	988648
2820264	825103
5234157	800300
5234158	800300
5234159	800300
2820238	825100
5234160	800300
5146837	1025778
5146883	363715
5017276	368396
5146972	422876
2820460	123948
3497045	750334
2820647	816450
5234706	5159872
4594520	899284
4595046	554330
548696	548529
3700519	42686
3700518	235441
3700566	306621
548530	548529
4030557	4030555
3321324	725294
3700857	640808
4468639	973036
3700634	688141
3700655	667336
3700649	744710
30253	28985
2823730	517538
3625913	156790
2823358	774022
3625805	463635
3625829	627464
3625712	189203
5143494	911191
4787507	4786999
4787508	4786999
4787509	4786999
4787514	4786999
4787513	4786999
4787512	4786999
4787511	4786999
4787510	4786999
3498935	228529
4651019	3373676
3498570	460598
3498577	460599
3498565	460600
1044288	3916003
5016039	401276
4596072	722142
905084	907678
3626822	615505
3626816	88840
3626813	669667
3626915	700153
2824447	476854
2824427	1013754
2937752	760239
3626548	650762
3626551	557673
3626702	595820
3626138	867615
3626212	888750
2822432	750738
2822542	996741
4786996	4786999
4786997	4786999
4786998	4786999
2909955	726980
2822109	540554
2909310	588813
2909421	864773
2909426	586017
2909414	5224215
2909419	382312
2909418	586026
410938	3908974
