name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Symphyandra finitima	|	428159	|	synonym	|	Symphyandra finitima (synonym for Campanula betulifolia)	|	ncbi:428159	|	
Campanula rotundidolia	|	239422	|	misspelling	|	Campanula rotundidolia (synonym for Campanula rotundifolia)	|	ncbi:239422	|	
Campanula saxanorum	|	1241169	|	misspelling	|	Campanula saxanorum (synonym for Campanula saxonorum)	|	ncbi:1241169	|	
Campanula modesta	|	1796126	|	synonym	|	Campanula modesta (synonym for Campanula immodesta)	|	ncbi:1796126	|	
Campanula jacquini	|	519282	|	misspelling	|	Campanula jacquini (synonym for Campanula jacquinii)	|	ncbi:519282	|	
Campanula filicaulis subsp. embergeri	|	1399556	|	synonym	|	Campanula filicaulis subsp. embergeri (synonym for Campanula embergeri)	|	ncbi:1399556	|	
Campanula spathulata	|	519288	|	synonym	|	Campanula spathulata (synonym for Campanula spatulata)	|	ncbi:519288	|	
Campanula glomerata subsp. subcapitata	|	428208	|	synonym	|	Campanula glomerata subsp. subcapitata (synonym for Campanula subcapitata)	|	ncbi:428208	|	
Campanula wilkensiana	|	1089232	|	misspelling	|	Campanula wilkensiana (synonym for Campanula wilkinsiana)	|	ncbi:1089232	|	
Campanula ruspestris	|	1241163	|	misspelling	|	Campanula ruspestris (synonym for Campanula rupestris)	|	ncbi:1241163	|	
Campanula reverchoni	|	239421	|	synonym	|	Campanula reverchoni (synonym for Campanula reverchonii)	|	ncbi:239421	|	
Campanula constantini	|	1241058	|	synonym	|	Campanula constantini (synonym for Campanula constantinii)	|	ncbi:1241058	|	
Campanula guinocheti	|	1547562	|	synonym	|	Campanula guinocheti (synonym for Campanula guinochetii)	|	ncbi:1547562	|	
Campanula macrorrhiza	|	1241126	|	misspelling	|	Campanula macrorrhiza (synonym for Campanula macrorhiza)	|	ncbi:1241126	|	
