name	|	uid	|	type	|	uniqname	|	
Campanumoea lancifolia (Roxb.) Kurz	|	428444	|		|	Campanumoea lancifolia (Roxb.) Kurz (synonym for Cyclocodon lancifolium)	|	
Ischnea elachoglossa F.Muell.	|	1095991	|		|	Ischnea elachoglossa F.Muell. (synonym for Ischnea elachoglossa)	|	
Tripteris angustissima	|	4727339	|		|	Tripteris angustissima (synonym for Tripteris vaillantii)	|	
Aster thyrsiflorus	|	855680	|		|	Aster thyrsiflorus (synonym for Symphyotrichum novi-belgii)	|	
Hieracium praeteneriforme	|	3897957	|		|	Hieracium praeteneriforme (synonym for Hieracium coronarium)	|	
Wahlenbergia rubioides (Banks ex A.DC.) Lammers	|	3892417	|		|	Wahlenbergia rubioides (Banks ex A.DC.) Lammers (synonym for Wahlenbergia rubioides)	|	
Actinolepis multicaulis	|	3899643	|		|	Actinolepis multicaulis (synonym for Eriophyllum multicaule)	|	
Achillea erba-rotta All.	|	245234	|		|	Achillea erba-rotta All. (synonym for Achillea erba-rotta)	|	
Campanula subalpina	|	965310	|		|	Campanula subalpina (synonym for Campanula elatines)	|	
Laphangium affine	|	851855	|		|	Laphangium affine (synonym for Gnaphalium affine)	|	
Gnaphalium albatum	|	3898933	|		|	Gnaphalium albatum (synonym for Pseudognaphalium canescens)	|	
Crepis croatica	|	99805	|		|	Crepis croatica (synonym for Crepis mollis)	|	
Cassinia subtropica F.Muell.	|	444115	|		|	Cassinia subtropica F.Muell. (synonym for Cassinia subtropica)	|	
Anaphalis cinnamomea	|	592636	|		|	Anaphalis cinnamomea (synonym for Anaphalis margaritacea)	|	
Helianthus aridus	|	515712	|		|	Helianthus aridus (synonym for Helianthus annuus)	|	
Leontodon nudicalyx	|	339813	|		|	Leontodon nudicalyx (synonym for Leontodon saxatilis)	|	
Dendranthema japonense var. debile	|	328110	|		|	Dendranthema japonense var. debile (synonym for Chrysanthemum japonense var. debile)	|	
Chrysanthemum welwitschii	|	775935	|		|	Chrysanthemum welwitschii (synonym for Chrysanthemum segetum)	|	
Arrhenechthites mixta (A.Rich.) Belcher	|	237930	|		|	Arrhenechthites mixta (A.Rich.) Belcher (synonym for Arrhenechthites mixta)	|	
Downingia willamettensis	|	977487	|		|	Downingia willamettensis (synonym for Downingia yina)	|	
Campanopsis oxyphylla	|	121526	|		|	Campanopsis oxyphylla (synonym for Wahlenbergia oxyphylla)	|	
Campanula ciliaris	|	168998	|		|	Campanula ciliaris (synonym for Roella ciliata)	|	
Eupatorium glastifolium	|	244809	|		|	Eupatorium glastifolium (synonym for Trilisa odoratissima)	|	
Campanula cichoriacea	|	208533	|		|	Campanula cichoriacea (synonym for Campanula lingulata)	|	
Solidago L.	|	872351	|		|	Solidago L. (synonym for Solidago)	|	
Crepidiastrum keiskeanum Nakai	|	578932	|		|	Crepidiastrum keiskeanum Nakai (synonym for Crepidiastrum keiskeanum)	|	
Campanula turczaninovii Fed.	|	428438	|		|	Campanula turczaninovii Fed. (synonym for Campanula turczaninovii)	|	
Spiracantha cornifolia Kunth	|	297526	|		|	Spiracantha cornifolia Kunth (synonym for Spiracantha cornifolia)	|	
non Hymenostephium microcephalum (Less.) S.F.Blake	|	62110	|		|	non Hymenostephium microcephalum (Less.) S.F.Blake (synonym for Hymenostephium uniseriatum)	|	
Philyrophyllum O.Hoffm.	|	671196	|		|	Philyrophyllum O.Hoffm. (synonym for Philyrophyllum)	|	
Cineraria pulchra Cron	|	706568	|		|	Cineraria pulchra Cron (synonym for Cineraria pulchra)	|	
Campanula nana	|	841553	|		|	Campanula nana (synonym for Campanula alpestris)	|	
Canada thistle	|	591412	|		|	Canada thistle (synonym for Cirsium arvense)	|	
