uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
3894862	|	54810	|	Echinops conrathii	|	species	|	gbif:5392868	|		|	sibling_lower,infraspecific	|	
54814	|	511898	|	Echinops spiniger	|	species	|	ncbi:909179	|		|		|	
108809	|	511898	|	Echinops heterophyllus	|	species	|	ncbi:1134907,gbif:5392811	|		|		|	
575555	|	511898	|	Echinops kandaharensis	|	species	|	ncbi:909160	|		|		|	
172028	|	511898	|	Echinops lipskyi	|	species	|	ncbi:909166	|		|		|	
222360	|	511898	|	Echinops exaltatus	|	species	|	ncbi:9372,gbif:5392683	|		|		|	
234574	|	511898	|	Echinops heteromorphus	|	species	|	ncbi:274425	|		|		|	
234576	|	511898	|	Echinops hedgei	|	species	|	ncbi:274424	|		|		|	
234578	|	511898	|	Echinops nanus	|	species	|	ncbi:274427	|		|		|	
234582	|	511898	|	Echinops emiliae	|	species	|	ncbi:274421,gbif:5392780	|		|		|	
234584	|	511898	|	Echinops cornigerus	|	species	|	ncbi:274420	|		|		|	
234586	|	511898	|	Echinops galaticus	|	species	|	ncbi:274423,gbif:5392718	|		|		|	
234588	|	511898	|	Echinops fontqueri	|	species	|	ncbi:274422	|		|		|	
234592	|	511898	|	Echinops onopordum	|	species	|	ncbi:274429,gbif:5392937	|		|		|	
234594	|	511898	|	Echinops niveus	|	species	|	ncbi:274428	|		|		|	
157010	|	511898	|	Echinops ceratophorus	|	species	|	ncbi:909134	|		|		|	
933940	|	511898	|	Echinops chantavicus	|	species	|	ncbi:909135	|		|		|	
234580	|	511898	|	Echinops microcephalus	|	species	|	ncbi:274426,gbif:5392800	|		|		|	
425528	|	511898	|	Echinops amplexicaulis	|	species	|	ncbi:910522	|		|		|	
368803	|	511898	|	Echinops humilis	|	species	|	ncbi:55619	|		|		|	
619118	|	511898	|	Echinops sp. EM407	|	species	|	ncbi:1159728	|		|		|	
425526	|	511898	|	Echinops ecbatanus	|	species	|	ncbi:910523	|		|		|	
425531	|	511898	|	Echinops platylepis	|	species	|	ncbi:910526	|		|		|	
490865	|	511898	|	Echinops vaginatus	|	species	|	ncbi:1134911,gbif:5392900	|		|		|	
507188	|	511898	|	Echinops setifer	|	species	|	ncbi:406080	|		|		|	
524330	|	511898	|	Echinops gaillardotii	|	species	|	ncbi:909149,gbif:5392854	|		|		|	
524332	|	511898	|	Echinops freitagii	|	species	|	ncbi:909148	|		|		|	
963640	|	511898	|	Echinops echinatus	|	species	|	ncbi:909143	|		|		|	
963643	|	511898	|	Echinops dubjanskyi	|	species	|	ncbi:909142	|		|		|	
963645	|	511898	|	Echinops dichrous	|	species	|	ncbi:909141	|		|		|	
963647	|	511898	|	Echinops dasyanthus	|	species	|	ncbi:909140	|		|		|	
963649	|	511898	|	Echinops fastigiatus	|	species	|	ncbi:909147	|		|		|	
963651	|	511898	|	Echinops endotrichus	|	species	|	ncbi:909146	|		|		|	
963653	|	511898	|	Echinops elymaiticus	|	species	|	ncbi:909145	|		|		|	
963655	|	511898	|	Echinops elbursensis	|	species	|	ncbi:909144	|		|		|	
575553	|	511898	|	Echinops karatavicus	|	species	|	ncbi:909161	|		|		|	
575557	|	511898	|	Echinops kotschyi	|	species	|	ncbi:909163	|		|		|	
575559	|	511898	|	Echinops knorringianus	|	species	|	ncbi:909162	|		|		|	
575561	|	511898	|	Echinops leucographus	|	species	|	ncbi:909165	|		|		|	
575563	|	511898	|	Echinops latifolius	|	species	|	ncbi:909164	|		|		|	
575565	|	511898	|	Echinops longifolius	|	species	|	ncbi:909167	|		|		|	
575567	|	511898	|	Echinops nitens	|	species	|	ncbi:909169	|		|		|	
575569	|	511898	|	Echinops maracandicus	|	species	|	ncbi:909168	|		|		|	
833718	|	511898	|	Echinops yemenicus	|	species	|	ncbi:909184	|		|		|	
630502	|	511898	|	Echinops sintenisii	|	species	|	ncbi:1134910,gbif:5392788	|		|		|	
643726	|	511898	|	Echinops ritro	|	species	|	ncbi:41571,gbif:5392950	|		|		|	
54807	|	643726	|	Echinops ritro subsp. ritro	|	subspecies	|	ncbi:909176	|		|	infraspecific	|	
808890	|	643726	|	Echinops ritro subsp. siculus	|	subspecies	|	ncbi:274434	|		|	infraspecific	|	
808896	|	643726	|	Echinops ritro subsp. ruthenicus	|	subspecies	|	ncbi:274432	|		|	infraspecific	|	
645184	|	511898	|	Echinops melitenensis	|	species	|	ncbi:1134908	|		|		|	
