name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Memecylanthus	|	7326527	|	synonym	|	Memecylanthus (synonym for Wittsteinia)	|	gbif:7326527	|	
Lautea	|	8189787	|	synonym	|	Lautea (synonym for Corokia)	|	gbif:8189787	|	
Candollea	|	3232108	|	synonym	|	Candollea (synonym for Stylidium)	|	gbif:3232108	|	
Takhtajanianthus	|	3144201	|	synonym	|	Takhtajanianthus (synonym for Rhanteriopsis)	|	gbif:3144201	|	
Postia	|	3144201	|	synonym	|	Postia (synonym for Rhanteriopsis)	|	gbif:3144201	|	
Shawia	|	3148688	|	synonym	|	Shawia (synonym for Olearia)	|	gbif:3148688	|	
Leucopholis	|	3151238	|	synonym	|	Leucopholis (synonym for Chionolaena)	|	gbif:3151238	|	
Pseudoligandra	|	3151238	|	synonym	|	Pseudoligandra (synonym for Chionolaena)	|	gbif:3151238	|	
Parachionolaena	|	3151238	|	synonym	|	Parachionolaena (synonym for Chionolaena)	|	gbif:3151238	|	
Helminthia	|	3141844	|	homotypic synonym	|	Helminthia (synonym for Helminthotheca)	|	gbif:3141844	|	
Vigineixia	|	3141844	|	heterotypic synonym	|	Vigineixia (synonym for Helminthotheca)	|	gbif:3141844	|	
Odontotrichum	|	3097611	|	synonym	|	Odontotrichum (synonym for Psacalium)	|	gbif:3097611	|	
Pascalium	|	3097611	|	synonym	|	Pascalium (synonym for Psacalium)	|	gbif:3097611	|	
Microbahia	|	3132212	|	synonym	|	Microbahia (synonym for Syntrichopappus)	|	gbif:3132212	|	
Hemilepis	|	3137422	|	synonym	|	Hemilepis (synonym for Leontodon)	|	gbif:3137422	|	
Virea	|	3137422	|	heterotypic synonym	|	Virea (synonym for Leontodon)	|	gbif:3137422	|	
Colobium	|	3137422	|	heterotypic synonym	|	Colobium (synonym for Leontodon)	|	gbif:3137422	|	
Asterothrix	|	3137422	|	heterotypic synonym	|	Asterothrix (synonym for Leontodon)	|	gbif:3137422	|	
Apargia	|	3137422	|	heterotypic synonym	|	Apargia (synonym for Leontodon)	|	gbif:3137422	|	
Thrincia	|	3137422	|	heterotypic synonym	|	Thrincia (synonym for Leontodon)	|	gbif:3137422	|	
Microderis	|	3137422	|	heterotypic synonym	|	Microderis (synonym for Leontodon)	|	gbif:3137422	|	
Faberiopsis	|	3141615	|	heterotypic synonym	|	Faberiopsis (synonym for Faberia)	|	gbif:3141615	|	
Peyrousea	|	3114934	|	synonym	|	Peyrousea (synonym for Schistostephium)	|	gbif:3114934	|	
Xanthophtalmum	|	3141100	|	synonym	|	Xanthophtalmum (synonym for Glebionis)	|	gbif:3141100	|	
Xanthophthalmum	|	3141100	|	synonym	|	Xanthophthalmum (synonym for Glebionis)	|	gbif:3141100	|	
Xantophtalmum	|	3141100	|	synonym	|	Xantophtalmum (synonym for Glebionis)	|	gbif:3141100	|	
Dysodium	|	3138947	|	synonym	|	Dysodium (synonym for Melampodium)	|	gbif:3138947	|	
Alcina	|	3138947	|	synonym	|	Alcina (synonym for Melampodium)	|	gbif:3138947	|	
Cynaropsis	|	3112344	|	synonym	|	Cynaropsis (synonym for Cynara)	|	gbif:3112344	|	
Arcyna	|	3112344	|	synonym	|	Arcyna (synonym for Cynara)	|	gbif:3112344	|	
Fontquera	|	3125355	|	synonym	|	Fontquera (synonym for Perralderia)	|	gbif:3125355	|	
Wettsteinia	|	3114511	|	synonym	|	Wettsteinia (synonym for Carduus)	|	gbif:3114511	|	
Mendezia	|	3111750	|	synonym	|	Mendezia (synonym for Zinnia)	|	gbif:3111750	|	
Crassina	|	3111750	|	synonym	|	Crassina (synonym for Zinnia)	|	gbif:3111750	|	
Diplothrix	|	3111750	|	synonym	|	Diplothrix (synonym for Zinnia)	|	gbif:3111750	|	
Tragoceros	|	3111750	|	synonym	|	Tragoceros (synonym for Zinnia)	|	gbif:3111750	|	
Hoehnelia	|	3091106	|	synonym	|	Hoehnelia (synonym for Ethulia)	|	gbif:3091106	|	
Autrania	|	3100669	|	synonym	|	Autrania (synonym for Myopordon)	|	gbif:3100669	|	
Erinacella	|	3100669	|	synonym	|	Erinacella (synonym for Myopordon)	|	gbif:3100669	|	
Haradjania	|	3100669	|	synonym	|	Haradjania (synonym for Myopordon)	|	gbif:3100669	|	
Hertia	|	3094357	|	synonym	|	Hertia (synonym for Othonna)	|	gbif:3094357	|	
Doria	|	3094357	|	synonym	|	Doria (synonym for Othonna)	|	gbif:3094357	|	
Othonnopsis	|	3094357	|	synonym	|	Othonnopsis (synonym for Othonna)	|	gbif:3094357	|	
Asaemia	|	3114273	|	synonym	|	Asaemia (synonym for Athanasia)	|	gbif:3114273	|	
Stilpnophyton	|	3114273	|	synonym	|	Stilpnophyton (synonym for Athanasia)	|	gbif:3114273	|	
